'Scaly Helmet', 'armour', 'head', NULL, 3, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Dragon Gauntlets', 'armour', 'hands', NULL, 4, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Gemscale Shoulders', 'armour', 'shoulders', NULL, 12, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Crappy Shield', 'armour', 'hands', 'one', 1, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'"Elven" Shield', 'armour', 'hands', 'one', 2, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'The Shield of Wonder', 'armour', 'hands', 'one', 12, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Dwarven BFS', 'armour', 'back', NULL, 13, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Simple Spear', 'weapon', 'hands', 'two', 2, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Quarterstaff', 'weapon', 'hands', 'two', 3, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Tellers Staff', 'weapon', 'hands', 'one', 12, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Staff of Hands', 'weapon', 'hands', 'two', 7, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Crappy Sword', 'weapon', 'hands', 'one', 1, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Enchanted Shortsword', 'weapon', 'hands', 'one', 10, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'The Tumblesword', 'weapon', 'hands', 'two', 11, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'The Luckblade', 'weapon', 'hands', 'one', 7, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Oblivious', 'weapon', 'hands', 'one', 13, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Crappy Dagger', 'weapon', 'hands', 'one', 12, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Broken Sword', 'weapon', 'hands', 'one', 7, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Card Blades', 'weapon', 'hands', 'two', 9, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Dagger of Light', 'weapon', 'hands', 'one', 7, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Dagger of Darkness', 'weapon', 'hands', 'one', 8, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL;



  'Blind, One Legged Orc', 1, 'common', 'JSON_BLOB', NULL, 'forest',
  'Dandyfly', 1, 'common', 'JSON_BLOB', NULL, 'forest',
  'Drasst Don''tsue', 5, 'common', 'JSON_BLOB', NULL, 'forest',
  'The Drowbabe', 5, 'common', 'JSON_BLOB', NULL, 'forest',
  'Hava', 5, 'common', 'JSON_BLOB', NULL, 'forest',
  'Listens', 5, 'common', 'JSON_BLOB', NULL, 'forest',
  'Tavern Keep', 5, 'common', 'JSON_BLOB', NULL, 'forest',
  'Tuck', 5, 'common', 'JSON_BLOB', NULL, 'forest',
  'Tul', 5, 'common', 'JSON_BLOB', NULL, 'forest',
  'Baka', 10, 'common', 'JSON_BLOB', NULL, 'forest',
  'Candles the Dwarf', 10, 'common', 'JSON_BLOB', NULL, 'forest',
  'The Execution Announcer', 10, 'common', 'JSON_BLOB', NULL, 'forest',
  'City Guard', 10, 'common', 'JSON_BLOB', NULL, 'forest',
  'Seth Bainwraith', 10, 'common', 'JSON_BLOB', NULL, 'forest',
  'Cal', 15, 'common', 'JSON_BLOB', NULL, 'forest',
  'Sergeant Greyless', 15, 'common', 'JSON_BLOB', NULL, 'forest',
  'Thormar', 15, 'common', 'JSON_BLOB', NULL, 'forest',
  'Thornback Orc', 15, 'common', 'JSON_BLOB', NULL, 'forest',
  'Bony Demon', 20, 'common', 'JSON_BLOB', NULL, 'forest',
  'Flunk', 20, 'common', 'JSON_BLOB', NULL, 'forest',
  'Succubust', 25, 'common', 'JSON_BLOB', NULL, 'forest',
  'Undead Bowl of Fruit', 25, 'common', 'JSON_BLOB', NULL, 'forest',
  'Duv', 30, 'common', 'JSON_BLOB', NULL, 'forest',
  'Mr. Fingers', 30, 'common', 'JSON_BLOB', NULL, 'forest',
  'Dellyn Goblinslayer the Rapist Asshole', 60, 'common', 'JSON_BLOB', NULL, 'forest',
  'PSIMAX', 60, 'common', 'JSON_BLOB', NULL, 'forest',
  'KORE!', 80, 'common', 'JSON_BLOB', NULL, 'forest';
